frame,id,topLeftX,topLeftY,bottomRightX,bottomRightY
1,1,200.34,113.73,245.47,159.32
2,1,202.39,113.73,247.07,159.32
3,1,203.3,113.73,247.98,158.86
4,1,203.3,114.19,247.98,159.09
5,1,201.94,114.19,247.29,159.77
6,1,201.94,115.78,247.07,160.68
7,1,201.71,115.78,247.07,161.14
8,1,201.03,116.24,246.38,161.6
9,1,201.03,116.47,245.7,162.74
10,1,200.34,116.47,245.47,163.42
11,1,200.34,117.61,245.01,164.1
12,1,199.89,117.83,244.33,164.1
13,1,199.43,118.52,244.1,165.01
14,1,198.97,119.43,243.19,165.47
15,1,198.29,119.89,242.51,166.38
16,1,198.06,119.89,242.51,166.15
17,1,196.92,120.34,242.51,166.84
18,1,196.92,121.25,241.82,167.52
19,1,196.92,121.48,241.82,167.52
20,1,196.24,122.17,241.6,168.21
21,1,196.24,122.17,240.68,169.12
22,1,196.24,122.17,240.46,169.12
23,1,196.24,122.85,240.68,169.12
24,1,195.1,123.3,239.77,169.8
25,1,194.87,123.53,239.32,169.8
26,1,194.87,123.53,239.32,169.8
27,1,194.19,123.76,238.63,170.03
28,1,193.28,123.99,238.4,170.94
29,1,193.05,123.99,237.95,170.94
30,1,193.05,123.99,237.26,170.94
31,1,192.36,123.53,237.04,169.57
32,1,191.91,123.3,236.13,169.34
33,1,191.91,122.39,236.35,168.89
34,1,191.22,121.71,235.9,168.89
35,1,190.77,121.25,235.44,167.75
36,1,190.77,121.48,235.44,167.52
37,1,190.54,121.03,235.44,167.29
38,1,190.31,121.48,234.76,167.75
39,1,190.31,121.48,234.53,167.52
40,1,190.09,122.17,234.53,168.43
41,1,190.09,122.17,234.53,168.43
42,1,190.31,121.71,234.53,168.66
43,1,190.31,121.71,234.53,168.66
44,1,190.09,122.17,234.76,168.43
45,1,190.54,122.17,234.99,168.66
46,1,190.54,122.17,234.99,168.89
47,1,190.31,123.53,234.53,169.34
48,1,190.09,123.53,234.53,169.12
49,1,190.09,123.76,234.53,169.8
50,1,189.63,123.76,234.07,170.03
51,1,189.17,123.76,233.85,170.26
52,1,189.17,123.76,233.85,170.26
53,1,189.17,123.99,233.39,170.03
54,1,189.17,123.99,233.39,170.03
55,1,188.03,125.81,233.62,171.4
56,1,187.58,125.58,231.79,172.31
57,1,186.44,125.58,231.11,172.54
58,1,186.21,126.04,230.43,172.54
59,1,185.98,125.81,230.2,172.76
60,1,185.98,125.81,230.66,172.76
61,1,185.07,125.81,229.52,172.76
62,1,183.48,125.81,228.15,172.31
