frame,id,topLeftX,topLeftY,bottomRightX,bottomRightY
1,1,124.67,92.308,171.4,150.88
2,1,124.22,92.08,170.94,151.34
3,1,123.76,92.08,170.48,151.34
4,1,123.99,92.308,170.48,151.34
5,1,123.76,92.08,170.26,151.57
6,1,123.99,92.308,170.03,151.57
7,1,123.76,92.764,170.26,151.34
8,1,123.53,93.447,170.03,151.34
9,1,123.3,93.903,169.57,151.79
10,1,122.85,94.359,169.57,152.25
11,1,122.39,95.726,168.43,154.3
12,1,122.17,96.41,168.43,155.21
13,1,121.48,97.778,167.29,155.21
14,1,120.34,97.55,167.07,155.67
15,1,119.66,97.55,166.15,155.21
16,1,119.43,97.778,165.24,156.58
17,1,117.83,98.461,164.79,156.58
18,1,117.15,98.234,163.65,156.81
19,1,116.24,98.234,162.28,156.81
20,1,116.24,98.234,162.28,156.13
21,1,116.92,98.006,162.74,154.76
22,1,117.83,97.094,163.42,153.85
23,1,118.29,95.954,164.56,153.39
24,1,119.2,94.587,165.47,152.25
25,1,121.03,94.131,166.61,151.34
26,1,122.62,94.131,168.66,150.66
27,1,123.76,92.991,170.26,150.2
28,1,126.04,92.764,171.62,148.83
29,1,127.64,92.08,172.99,148.38
30,1,128.78,91.396,173.68,147.24
31,1,128.78,90.712,173.68,146.32
32,1,128.55,88.889,173.45,144.96
33,1,128.09,87.521,172.76,143.59
34,1,126.5,85.926,171.4,141.99
35,1,124.9,85.014,169.34,140.4
36,1,123.3,84.102,167.52,139.26
37,1,122.39,82.507,166.61,138.12
38,1,120.57,82.963,165.47,136.98
39,1,120.11,82.963,164.1,137.66
40,1,118.97,83.875,162.74,138.8
41,1,118.06,85.014,162.05,140.63
42,1,117.61,87.521,161.14,142.68
43,1,118.06,89.801,161.14,145.64
44,1,118.06,92.764,160.68,147.69
45,1,118.06,95.043,160.0,149.74
46,1,118.29,96.41,160.68,151.79
47,1,119.43,97.094,161.82,152.02
48,1,120.11,97.778,162.51,152.25
49,1,120.34,98.006,162.74,152.02
50,1,121.94,97.778,163.87,151.34
51,1,122.85,97.322,164.79,150.43
52,1,123.08,96.182,165.01,149.29
53,1,123.3,95.726,165.7,149.52
54,1,125.13,95.954,167.52,149.29
55,1,125.13,95.726,168.43,149.06
56,1,124.22,95.271,167.98,149.06
57,1,123.99,95.499,167.29,149.06
58,1,124.22,94.587,167.98,148.83
59,1,123.76,95.043,167.52,148.38
60,1,123.76,95.043,167.07,147.46
61,1,123.3,95.726,167.07,148.38
62,1,122.85,97.55,166.15,149.74
63,1,123.08,100.28,165.47,152.25
64,1,122.39,102.56,164.33,153.85
65,1,122.39,104.16,163.42,154.76
66,1,122.39,104.84,163.87,155.44
67,1,123.53,106.89,163.65,157.49
68,1,124.67,108.03,164.79,157.72
69,1,126.04,108.49,165.47,158.18
70,1,126.04,107.58,165.24,157.49
71,1,126.04,105.76,165.01,154.76
72,1,127.18,104.39,164.56,151.79
73,1,126.72,101.42,163.87,149.06
74,1,126.72,99.601,163.87,145.64
75,1,127.18,96.182,163.87,141.99
76,1,126.95,92.991,164.56,138.58
77,1,126.95,90.029,164.79,135.38
78,1,126.27,87.977,164.79,133.33
79,1,126.27,85.926,165.01,130.6
80,1,125.81,84.33,164.33,130.37
81,1,125.58,83.875,163.65,130.6
82,1,124.44,84.558,163.65,131.28
83,1,123.76,85.698,162.74,131.74
84,1,123.76,86.838,162.74,132.88
85,1,123.08,88.661,162.28,134.93
86,1,122.39,90.712,161.14,136.52
87,1,121.03,92.308,160.23,137.66
88,1,120.34,93.675,159.09,139.26
89,1,118.29,95.271,156.13,141.31
90,1,116.92,96.41,154.99,142.45
91,1,114.87,98.006,154.07,143.36
92,1,113.96,98.461,152.02,144.5
93,1,112.59,99.145,150.88,145.87
94,1,111.22,99.829,149.29,146.32
95,1,109.86,101.2,147.69,148.15
96,1,107.81,103.7,145.19,149.74
97,1,105.98,105.3,143.59,151.11
98,1,104.62,105.98,142.22,153.16
99,1,103.93,107.12,142.22,154.53
100,1,103.7,109.17,142.45,156.35
101,1,103.7,109.4,142.22,156.58
102,1,105.07,108.72,143.82,156.35
103,1,106.21,107.81,145.87,155.44
104,1,107.81,107.35,148.38,154.3
105,1,109.17,106.89,150.43,154.3
106,1,112.14,106.89,153.39,154.3
107,1,115.1,105.98,157.26,154.07
108,1,119.43,105.98,160.68,153.39
109,1,122.17,105.3,164.33,153.85
110,1,124.9,105.3,167.07,154.3
111,1,127.86,105.53,170.03,153.62
112,1,130.14,104.16,172.99,152.71
113,1,133.11,103.48,174.81,152.25
114,1,134.47,103.02,176.41,151.57
115,1,135.84,102.56,177.78,151.11
116,1,136.75,103.02,178.23,152.02
117,1,137.44,103.7,178.69,152.48
118,1,137.21,105.3,178.01,154.3
119,1,136.07,106.89,176.41,155.21
120,1,134.25,107.35,175.73,156.13
121,1,131.74,107.35,173.22,156.58
122,1,129.0,106.89,171.17,156.81
123,1,126.95,106.21,168.21,155.67
124,1,125.58,105.07,167.29,154.3
125,1,123.99,102.11,165.93,151.79
126,1,121.03,99.145,163.87,149.29
127,1,118.97,96.41,161.6,147.46
128,1,117.15,95.043,159.32,145.64
129,1,115.33,94.359,158.4,144.96
130,1,114.19,94.131,158.18,144.05
131,1,112.82,94.359,155.21,144.96
132,1,111.0,95.499,153.16,146.1
133,1,109.86,96.866,150.88,147.24
134,1,108.03,98.917,149.74,149.52
135,1,107.12,101.88,149.06,152.25
136,1,108.26,103.48,149.06,154.53
137,1,108.03,106.21,149.06,156.81
138,1,109.4,108.26,149.97,158.18
139,1,110.31,109.17,151.57,159.54
140,1,111.45,108.72,153.39,159.32
141,1,111.91,109.4,154.3,159.32
142,1,113.28,110.09,154.99,160.0
143,1,113.28,109.86,155.21,160.23
144,1,113.28,108.72,155.21,159.09
145,1,113.05,107.81,155.21,157.49
